,org_index,spoke_id,spoke_name
0,0,1817405,Abyssicoccus albus
1,1,155978,Acaryochloris marina
2,2,1720083,Acetilactobacillus jinshanensis
3,3,1677857,Acetivibrio saccincola
4,4,1511,Acetoanaerobium sticklandii
5,5,435,Acetobacter aceti
6,6,481146,Acetobacter ascendens
7,7,146474,Acetobacter orientalis
8,8,2500548,Acetobacter oryzoeni
9,9,1076596,Acetobacter persici
10,10,65959,Acetobacter pomorum
11,11,446692,Acetobacter senegalensis
12,12,104102,Acetobacter tropicalis
13,13,2592655,Acetobacter vaccinii
14,14,52694,Acetobacterium wieringae
15,15,33952,Acetobacterium woodii
16,16,264636,Acholeplasma hippikon
17,17,2148,Acholeplasma laidlawii
18,18,35623,Acholeplasma oculi
19,19,1353891,Achromobacter deleyi
20,20,32002,Achromobacter denitrificans
21,21,217204,Achromobacter insolitus
22,22,1389922,Achromobacter mucicolens
23,23,1758194,Achromobacter sp. AONIH1
24,24,217203,Achromobacter spanius
25,25,905,Acidaminococcus fermentans
26,26,187327,Acidaminococcus intestini
27,27,1281578,Acidiferrobacter sp. SPIII_3
28,28,163359,Acidiferrobacter thiooxydans
29,29,160660,Acidihalobacter prosperus
30,30,2507161,Acidilutibacter cellobiosedens
31,31,1749,Acidipropionibacterium jensenii
32,32,2057246,Acidipropionibacterium virtanenii
33,33,2211140,Acidisarcina polymorpha
34,34,1232575,Acidithiobacillus ferridurans
35,35,1689834,Acidithiobacillus ferriphilus
36,36,160808,Acidithiobacillus ferrivorans
37,37,930,Acidithiobacillus thiooxidans
38,38,33075,Acidobacterium capsulatum
39,39,12917,Acidovorax facilis
40,40,758826,Acidovorax radicis
41,41,2478662,Acidovorax sp. 1608163
42,42,232721,Acidovorax sp. JS42
43,43,358220,Acidovorax sp. KKS102
44,44,1842533,Acidovorax sp. RAC01
45,45,80878,Acidovorax temperans
46,46,106648,Acinetobacter bereziniae
47,47,202951,Acinetobacter bouvetii
48,48,2004650,Acinetobacter chinensis
49,49,2136182,Acinetobacter cumulans
50,50,1871111,Acinetobacter defluvii
51,51,70348,Acinetobacter dispersus
52,52,1324350,Acinetobacter equi
53,53,106649,Acinetobacter guillouiae
54,54,134534,Acinetobacter gyllenbergii
55,55,29430,Acinetobacter haemolyticus
56,56,756892,Acinetobacter indicus
57,57,40214,Acinetobacter johnsonii
58,58,40215,Acinetobacter junii
59,59,1785128,Acinetobacter lactucae
60,60,2715163,Acinetobacter lanii
61,61,1789224,Acinetobacter larvae
62,62,106654,Acinetobacter nosocomialis
63,63,1148157,Acinetobacter oleivorans
64,64,48296,Acinetobacter pittii
65,65,1776741,Acinetobacter proteolyticus
66,66,40216,Acinetobacter radioresistens
67,67,108981,Acinetobacter schindleri
68,68,1530123,Acinetobacter seifertii
69,69,2715164,Acinetobacter shaoyimingii
70,70,487316,Acinetobacter soli
71,71,1809055,Acinetobacter sp. DUT-2
72,72,1608473,Acinetobacter sp. NCu2D-2
73,73,1407071,Acinetobacter sp. TGL-Y2
74,74,1646498,Acinetobacter sp. TTH0-4
75,75,202954,Acinetobacter tandoii
76,76,202956,Acinetobacter towneri
77,77,108980,Acinetobacter ursingii
78,78,70346,Acinetobacter variabilis
79,79,52133,Acinetobacter venetianus
80,80,2662362,Acinetobacter wanghuae
81,81,1879050,Acinetobacter wuhouensis
82,82,1609966,Actibacterium sp. EMB200-NS6
83,83,1470176,Actinoalloteichus hoggarensis
84,84,340345,Actinoalloteichus hymeniacidonis
85,85,1612551,Actinoalloteichus sp. GBA129-24
86,86,51161,Actinobacillus delphinicola
87,87,51049,Actinobacillus indolicus
88,88,720,Actinobacillus lignieresii
89,89,189834,Actinobacillus porcitonsillarum
90,90,1219491,Actinomadura sp. WMMB 499
91,91,2789776,Actinomarinicola tropica
92,92,1658,Actinomyces bovis
93,93,1960083,Actinomyces gaoshouyii
94,94,55565,Actinomyces graevenitzii
95,95,52771,Actinomyces howellii
96,96,2737173,Actinomyces marmotae
97,97,1655,Actinomyces naeslundii
98,98,544580,Actinomyces oris
99,99,111015,Actinomyces radicidentis
100,100,52774,Actinomyces slackii
101,101,2057798,Actinomyces sp. 432
102,102,1851395,Actinomyces sp. Chiba101
103,103,712122,Actinomyces sp. oral taxon 414
104,104,2081702,Actinomyces sp. oral taxon 897
105,105,1656,Actinomyces viscosus
106,106,649831,Actinoplanes sp. N902-109
107,107,134676,Actinoplanes sp. SE50/110
108,108,1869,Actinoplanes utahensis
109,109,414996,Actinopolyspora erythraea
110,110,42197,Actinosynnema pretiosum
111,111,59505,Actinotignum schaalii
112,112,1930276,Adhaeretor mobilis
113,113,2745197,Adhaeribacter radiodurans
114,114,2086471,Adhaeribacter swui
115,115,446660,Adlercreutzia equolifaciens
116,116,2707299,Adlercreutzia hattorii
117,117,310575,Advenella kashmirensis
118,118,2527972,Aeoliella mucimassa
119,119,2518989,Aequoribacter fuscus
120,120,2803865,Aequorivita iocasae
121,121,2494375,Aequorivita sp. H23M31
122,122,33936,Aeribacillus pallidus
123,123,87541,Aerococcus christensenii
124,124,119206,Aerococcus sanguinicola
125,125,51665,Aerococcus urinaeequi
126,126,128944,Aerococcus urinaehominis
127,127,1377,Aerococcus viridans
128,128,2079793,Aeromicrobium chenweiae
129,129,2041,Aeromicrobium erythreum
130,130,2107713,Aeromicrobium sp. A1-2
131,131,2662028,Aeromicrobium yanjiei
132,132,656,Aeromonas allosaccharophila
133,133,105751,Aeromonas bestiarum
134,134,648,Aeromonas caviae
135,135,196024,Aeromonas dhakensis
136,136,73010,Aeromonas encheleia
137,137,650,Aeromonas jandaei
138,138,651,Aeromonas media
139,139,948519,Aeromonas rivipollensis
140,140,652,Aeromonas schubertii
141,141,218936,Aeromonas simiae
142,142,2560029,Aeromonas sp. 2692-1
143,143,1636608,Aeromonas sp. ASNIH3
144,144,1758179,Aeromonas sp. ASNIH5
145,145,2033033,Aeromonas sp. CU5
146,146,2010829,Aerosticca soli
147,147,2652721,Agarivorans sp. B2Z047
148,148,739,Aggregatibacter segnis
149,149,2583587,Aggregatimonas sangjinii
150,150,2773266,Agreia sp. COWG
151,151,160699,Agrobacterium larrymoorei
152,152,28099,Agrobacterium rubi
153,153,1183413,Agrobacterium salinitolerans
154,154,1842536,Agrobacterium sp. RAC06
155,155,358,Agrobacterium tumefaciens
156,156,2070347,Agrococcus sp. SGAir0287
157,157,453304,Agromyces aureus
158,158,2080742,Agromyces badenianii
159,159,2509455,Agromyces protaetiae
160,160,2021234,Ahniella affigens
161,161,1679444,Akkermansia glycaniphila
162,162,239935,Akkermansia muciniphila
163,163,323284,Alcaligenes aquatilis
164,164,511,Alcaligenes faecalis
165,165,59754,Alcanivorax borkumensis
166,166,2683284,Algicella marina
167,167,1727163,Algoriphagus sanaruensis
168,168,255507,Aliarcobacter cibarius
169,169,28198,Aliarcobacter cryaerophilus
170,170,28200,Aliarcobacter skirrowii
171,171,544718,Aliarcobacter thereius
172,172,1450,Alicyclobacillus acidoterrestris
173,173,471514,Alicyclobacillus ferrooxydans
174,174,154981,Aliiroseovarius crassostreae
175,175,80852,Aliivibrio wodanis
176,176,2585118,Alistipes communis
177,177,2585119,Alistipes dispar
178,178,214856,Alistipes finegoldii
179,179,626932,Alistipes indistinctus
180,180,28117,Alistipes putredinis
181,181,328814,Alistipes shahii
182,182,2662363,Alistipes sp. dk3624
183,183,2731377,Alkalicella caledoniensis
184,184,79885,Alkalihalophilus pseudofirmus
185,185,351052,Alkalilimnicola ehrlichii
186,186,208226,Alkaliphilus metalliredigens
187,187,461876,Alkaliphilus oremlandii
188,188,889453,Alkalitalea saponilacus
189,189,2763107,Alloacidobacterium dinghuense
190,190,1653480,Alloactinosynnema sp. L-07
191,191,1085644,Allofrancisella frigidaquae
192,192,594679,Allofrancisella guangzhouensis
193,193,1085647,Allofrancisella inopinata
194,194,3025782,Allorhizobium ampelinum
195,195,2665642,Allosaccharopolyspora coralli
196,196,361183,Altererythrobacter epoxidivorans
197,197,2060312,Altererythrobacter sp. B11
198,198,2604537,Altererythrobacter sp. BO-6
199,199,715451,Alteromonas naphthalenivorans
200,200,1858656,Alteromonas pelagimontana
201,201,2267264,Alteromonas sp. RKMC-009
202,202,153491,Alysiella crassa
203,203,194196,Alysiella filiformis
204,204,2507160,Aminipila luticellarii
205,205,2697030,Aminipila terrae
206,206,83263,Aminobacter aminovorans
207,207,374606,Aminobacter sp. MSH1
208,208,42838,Ammonifex degensii
209,209,1449,Amphibacillus xylanus
210,210,715473,Amycolatopsis acidiphila
211,211,1804986,Amycolatopsis albispora
212,212,208439,Amycolatopsis japonica
213,213,129921,Amycolatopsis keratiniphila
214,214,1913,Amycolatopsis lactamdurans
215,215,31958,Amycolatopsis orientalis
216,216,218821,Amycolatopsis pretoriensis
217,217,1896961,Amycolatopsis sp. AA4
218,218,385957,Amycolatopsis sp. ATCC 39116
219,219,1911175,Amycolatopsis sp. BJA-103
220,220,2653857,Amycolatopsis sp. YIM 10
221,221,1603,Amylolactobacillus amylophilus
222,222,46234,Anabaena sp. 90
223,223,1647413,Anabaena sp. WA102
224,224,2490939,Anabaena sp. YBS01
225,225,85682,Anaerobacillus arseniciselenatis
226,226,1532552,Anaerobacillus isosaccharinicus
227,227,39488,Anaerobutyricum hallii
228,228,33037,Anaerococcus vaginalis
229,229,433286,Anaerocolumna cellulosilytica
230,230,2696063,Anaerocolumna sedimenticola
231,231,1936003,Anaerohalosphaera lusitana
232,232,167964,Anaerolinea thermophila
233,233,1889813,Anaerolineaceae bacterium oral taxon 439
234,234,404589,Anaeromyxobacter sp. Fw109-5
235,235,447217,Anaeromyxobacter sp. K
236,236,105841,Anaerostipes caccae
237,237,649756,Anaerostipes hadrus
238,238,1229621,Anaerostipes rhamnosivorans
239,239,169435,Anaerotruncus colihominis
240,240,82374,Anaerovibrio lipolyticus
241,241,2528021,Anatilimnocola aggregata
242,242,1745854,Ancylobacter pratisalsi
243,243,1850374,Ancylobacter sp. TS-1
244,244,47500,Aneurinibacillus migulanus
245,245,1500254,Aneurinibacillus soli
246,246,1450761,Aneurinibacillus sp. XH2
247,247,143495,Aneurinibacillus thermoaerophilus
248,248,294699,Anoxybacillus amylolyticus
249,249,247480,Anoxybacillus caldiproteolyticus
250,250,33934,Anoxybacillus flavithermus
251,251,198467,Anoxybacillus gonensis
252,252,1490057,Anoxybacillus sp. B7M1
253,253,1323375,Anoxybacter fermentans
254,254,496056,Anseongella ginsenosidimutans
255,255,2585771,Antarcticibacterium arcticum
256,256,2058175,Antarcticibacterium flavum
257,257,74033,Antarctobacter heliothermus
258,258,2419772,Apilactobacillus bombintestini
259,259,148814,Apilactobacillus kunkeei
260,260,1296669,Aquabacterium olei
261,261,1938604,Aquaspirillum sp. LM1
262,262,1670800,Aquibium oceanicum
263,263,254246,Aquicella lusitana
264,264,254247,Aquicella siphonis
265,265,63363,Aquifex aeolicus
266,266,2714,Aquifex pyrophilus
267,267,2499157,Aquiluna borgnonia
268,268,1714848,Aquimarina sp. AD1
269,269,1714849,Aquimarina sp. AD10
270,270,1714860,Aquimarina sp. BL5
271,271,2283318,Aquirhabdus parva
272,272,2516559,Aquirufa antheringensis
273,273,2516557,Aquirufa nivalisilvae
274,274,2740807,Aquisalimonas sp. 2447
275,275,406548,Aquisphaera giovannonii
276,276,332411,Aquitalea magnusonii
277,277,1590041,Aquitalea sp. USM4
278,278,496057,Arachidicoccus ginsenosidivorans
279,279,2341117,Arachidicoccus soli
280,280,2545455,Arachidicoccus sp. B3-10
281,281,1850526,Arachidicoccus sp. BS20
282,282,1750,Arachnia propionica
283,283,2722751,Arcanobacterium buesumense
284,284,48,Archangium gephyra
285,285,1849015,Arcobacter acticola
286,286,1315211,Arcobacter aquimarinus
287,287,1054034,Arcobacter cloacae
288,288,873191,Arcobacter defluvii
289,289,913109,Arcobacter ellisii
290,290,944547,Arcobacter sp. L
291,291,1278212,Arcobacter suis
292,292,1054033,Arcobacter venerupis
293,293,1784714,Arcticibacterium luteifluviistationis
294,294,616991,Arenibacter algicola
295,295,2697033,Aristophania vespae
296,296,59406,Aromatoleum evansii
297,297,1658671,Arsenicicoccus sp. oral taxon 190
298,298,235559,Arsenophonus endosymbiont of Aleurodicus dispersus
299,299,1231049,Arsenophonus endosymbiont of Aphis craccivora
300,300,638,Arsenophonus nasoniae
301,301,37921,Arthrobacter agilis
302,302,1670,Arthrobacter citreus
303,303,37928,Arthrobacter crystallopoietes
304,304,1665,Arthrobacter globiformis
305,305,1667,Arthrobacter sp.
306,306,1704044,Arthrobacter sp. ERGS1:01
307,307,290399,Arthrobacter sp. FB24
308,308,1588021,Arthrobacter sp. Hiyo4
309,309,1588023,Arthrobacter sp. Hiyo8
310,310,1494608,Arthrobacter sp. PAMC 25486
311,311,2565366,Arthrobacter sp. PAMC25564
312,312,2079227,Arthrobacter sp. PGP41
313,313,1357915,Arthrobacter sp. QXT-31
314,314,1118963,Arthrobacter sp. Rue61a
315,315,1849032,Arthrobacter sp. U41
316,316,1652545,Arthrobacter sp. YC-RL1
317,317,2020486,Arthrobacter sp. YN
318,318,1806905,Arthrobacter sp. ZXY-2
319,319,91915,Asaia bogorensis
320,320,78587,Asticcacaulis excentricus
321,321,565,Atlantibacter hermannii
322,322,255519,Atlantibacter subterranea
323,323,1648404,Aurantiacibacter atlanticus
324,324,502682,Aurantiacibacter gangjinensis
325,325,708131,Aurantimicrobium minutum
326,326,1987356,Aurantimicrobium photophilum
327,327,2079575,Aurantimicrobium sp. MWH-Uga1
328,328,2584122,Aureibaculum algae
329,329,370622,Aureimonas altamirensis
330,330,1349819,Aureimonas sp. AU20
331,331,2527968,Aureliella helgolandensis
332,332,728,Avibacterium paragallinarum
333,333,762,Avibacterium volantium
334,334,198107,Azoarcus sp. CIB
335,335,2027405,Azoarcus sp. DD4
336,336,356837,Azoarcus sp. DN11
337,337,748247,Azoarcus sp. KH32C
338,338,7,Azorhizobium caulinodans
339,339,146939,Azospira oryzae
340,340,192,Azospirillum brasilense
341,341,1226968,Azospirillum humicireducens
342,342,193,Azospirillum lipoferum
343,343,286727,Azospirillum oryzae
344,344,682998,Azospirillum ramasamyi
345,345,137722,Azospirillum sp. B510
346,346,664962,Azospirillum sp. TSH58
347,347,2202148,Azospirillum thermophilum
348,348,528244,Azospirillum thiophilum
349,349,353,Azotobacter chroococcum
350,350,293389,Bacillus aerophilus
351,351,293387,Bacillus altitudinis
352,352,2672567,Bacillus aquiflavi
353,353,1452,Bacillus atrophaeus
354,354,1455,Bacillus badius
355,355,580165,Bacillus cytotoxicus
356,356,1742359,Bacillus dafuensis
357,357,1783501,Bacillus freudenreichii
358,358,1664069,Bacillus glycinifermentans
359,359,260554,Bacillus halotolerans
360,360,324767,Bacillus infantis
361,361,1471,Bacillus methanolicus
362,362,2026190,Bacillus mobilis
363,363,72360,Bacillus mojavensis
364,364,2026193,Bacillus nitratireducens
365,365,2026187,Bacillus pacificus
366,366,1648923,Bacillus paralicheniformis
367,367,2026186,Bacillus paranthracis
368,368,561879,Bacillus safensis
369,369,659243,Bacillus siamensis
370,370,1479,Bacillus smithii
371,371,666686,Bacillus sp. 1NLA3E
372,372,1127744,Bacillus sp. JS
373,373,98228,Bacillus sp. OxB-1
374,374,486398,Bacillus sp. S3
375,375,1774743,Bacillus sp. SDLI1
